Company ID,name,Website,Number of Locations Band,Years in Business Band,Employee Band,Revenue Band
12845056,breadware.com,breadware.com, 1-9, 09-10, 1-9, $500K-$999K
111935495,VIACONECT TELECOMUNICACOES - COMERCIAL,viaconect.com, 1-9, 16-20, 10-99, $500K-$999K
107347975,OFIMATICA DEL PERU S.A.C.,ofimatica.pe, 1-9, 21-25, 10-99, $500K-$999K
118620168,Qulture Rocks,qulture.rocks, 1-9, 09-10, 10-99, $1M-$2.49M
118620173,Neomode,neomode.com.br, 1-9, 09-10, 10-99, $1M-$2.49M
12714065,PBSC Urban Solutions,pbsc.com, 10-29, 16-20, 10-99, $1M-$2.49M
118620243,Cl,clinicaagil.com.br, 1-9, 09-10, 10-99, $1M-$2.49M
115081300,M2 CONNECT CONSULTORIA,m2connect.com.br, 1-9,-, 1-9, <$100K
118620248,N5,n5now.com, 1-9,-, 100-499, $10M-$24.9M
12583003,Innexware,innexware.com, 1-9, 04-05, 1-9, $500K-$999K
13369436,CAR INGENIERIA INSTALACIONES,caringenieriainstalaciones.com.mx, 1-9, 26-30, 10-99, $1M-$2.49M
92012637,Dataset,dataset.com.do, 1-9,-, 1-9, <$100K
12845148,Hansen Technologies,hansencx.com, 30-49, 31+," 1,000+", $100M-$499M
12845154,Bergmannsoft,bergmannsoft.com.br, 1-9, 11-15, 1-9, $500K-$999K
118620258,maxxy soft,maxxy.com.br, 1-9, 26-30, 1-9, <$100K
111935588,Play Marketing America LLC,playmarketing.net, 1-9, 21-25, 10-99, $1M-$2.49M
13107301,Aps Industrial,apsindustrial.com.au, 10-29, 06-08, 10-99, $5M-$9.9M
111935589,Smart Team Solutions,playsts.com, 1-9, 16-20, 1-9, <$100K
118620262,maxview(r) plataformas inteligentes,maxview.com.br, 1-9, 16-20, 1-9, <$100K
115212391,wecode,wecodecorp.com.br, 1-9, 04-05, 1-9, <$100K
13107305,Ai Technologies,aitechnologies.co, 1-9, 04-05, 1-9, $500K-$999K
92274794,Airbus / Secure Land Communications,securelandcommunications.com, 30-49, 09-10," 1,000+", $100M-$499M
115081322,konfidi technologies,konfidi.biz, 1-9, 16-20, 1-9, <$100K
111935593,Tesecomp,tesecomp.com, 1-9,-, 1-9, <$100K
115081325,LC SISTEMAS,lcsistemas.com.br, 1-9, 11-15, 1-9, $100K-$499K
111804524,CariNetworks Ltd,carinetworks.com, 1-9,-, 1-9, $500K-$999K
115081327,Liart Tecnologia,liarttecnologia.com.br, 1-9, 00-01, 1-9, <$100K
115081331,WILLOWRA TECHNOLOGICAL,mgotec.com, 1-9, 00-01, 1-9, <$100K
115212404,wedox,wedox.co, 1-9, 06-08, 1-9, <$100K
12845177,ICAP Technology Center,icap.com.ar, 1-9, 31+, 10-99, $5M-$9.9M
118620286,INDUSTRYAPPS,industryapps.net, 1-9, 09-10, 10-99, $100K-$499K
12845183,devmarkets.com,devmarkets.com, 1-9, 31+, 1-9, $500K-$999K
92274816,Automated Conversions,automatedconversions.com, 1-9, 06-08, 1-9, <$100K
13107337,synergy technology,synergytechnology.net, 1-9, 06-08, 1-9, <$100K
12714121,Wekall,wekall.co, 1-9, 04-05, 10-99, $1M-$2.49M
12583055,GeneXus,genexus.com, 1-9, 31+, 100-499, $10M-$24.9M
13369487,pegasus technologies,pegasus.ag, 1-9, 26-30, 1-9, <$100K
118620304,integru solucoes corporativas,integru.com.br, 1-9, 21-25, 1-9, <$100K
115081362,migo,migo.pe, 1-9, 06-08, 1-9, <$100K
12583066,One It,oneit.com.mx, 1-9, 11-15, 10-99, $1M-$2.49M
92012711,oak tecnologia,oaktecnologia.com, 1-9, 04-05, 1-9, <$100K
115212455,werden it,werden.com.ar, 1-9, 04-05, 1-9, <$100K
111804587,Solved Informatica,solved.com.br, 1-9, 11-15, 1-9, $500K-$999K
12845232,Hostseo,hostseo.com, 1-9, 04-05, 100-499, $10M-$24.9M
12583089,comfin software,comfinsoftware.com, 1-9, 16-20, 10-99, $1M-$2.49M
114950323,Third Term Learning,thirdtermlearning.com, 1-9, 26-30, 1-9, $500K-$999K
12845238,Tienda Mexicana De Tecnologia,tiendamexicanadetecnologia.com, 1-9, 04-05, 1-9, <$100K
115081406,netforce global solutions,netforcegs.com.pe, 1-9,-, 1-9, <$100K
115081409,NEXANETWORKS TECNOLOGIA E NEGOCIOS CNPJ,nexanetworks.com.br, 1-9,-, 1-9, <$100K
114950341,T&M Consulting Services,tmconsulting.mx, 1-9, 11-15, 10-99, $5M-$9.9M
118620358,"mace consulting scm, erp, process engineering",maceconsulting.cl, 1-9, 09-10, 1-9, <$100K
93585612,ITPOWER BR SOFTWARE,brxsoftware.com.br, 1-9, 04-05, 1-9, $100K-$499K
118620364,nexoweb,nexoweb.com, 1-9, 04-05, 1-9, <$100K
13107417,Viasoluciones,viasoluciones.com, 1-9, 26-30, 10-99, $1M-$2.49M
118620380,LK6 SOLUCOES EM T.I,lk6.com.br, 1-9, 16-20, 1-9, $100K-$499K
118620384,Rsec,rsecgroup.com, 1-9,-, 10-99, $1M-$2.49M
115081455,Motilde,motilde.com, 1-9, 11-15, 10-99, $1M-$2.49M
118620399,gh brandtech,ghbranding.com.br, 1-9, 16-20, 1-9, <$100K
107217137,GRADUAL TI INFORMATICA,gradualti.com.br, 1-9, 11-15, 1-9, $100K-$499K
107348207,On Line Shopping Ltda,onlineshopping.com.br, 1-9, 31+, 100-499, $10M-$24.9M
15204595,Bbtechnologiesslu,bbtechnologiesslu.com, 1-9, 06-08, 1-9, <$100K
92012791,ronin data solutions,ronindata.co, 1-9, 09-10, 1-9, <$100K
15204600,BRASIL SOFTWARE,brasilsoftware.com, 1-9, 04-05, 10-99, $100K-$499K
92143867,Nitro Digital Business,nitrodigitalbusiness.com, 1-9, 04-05, 1-9, <$100K
118620415,logic fabrica de software,logicsp.com.br, 1-9, 21-25, 1-9, <$100K
118620429,max scalla informatica,maxscalla.com.br, 1-9, 31+, 1-9, <$100K
115081486,mextron intelligence,mextron.com.mx, 1-9, 16-20, 1-9, <$100K
111542542,Kalasystems,kalasystems.com.mx, 1-9, 06-08, 1-9, $100K-$499K
118620434,justright software,jrscorp.com, 1-9, 31+, 1-9, <$100K
12714268,Global Project Mgt Group,gpmg.com, 1-9, 31+, 10-99, $1M-$2.49M
118620446,innovart j2,innovated-ideas.com, 1-9, 06-08, 1-9, <$100K
115081507,simplefibra,netsimple.com.br, 1-9, 09-10, 1-9, <$100K
92274980,Autosys Industrial Solutions,aispl.co, 1-9, 09-10, 1-9, $500K-$999K
12583216,New Dream Network,dreamhost.com, 10-29, 26-30, 100-499, $5M-$9.9M
115081523,NOVA TECH DATA,novatechdata.cl, 1-9,-, 1-9, <$100K
12452150,RCM TECNOLOGIA,rcm-informatica.com, 1-9, 16-20, 1-9, $100K-$499K
12714297,CHIP & CIA OU CHIP,chipcia.com.br, 1-9, 31+, 1-9, $100K-$499K
118620478,infradigital,infradigital.net, 1-9, 09-10, 1-9, <$100K
118620479,infotic,infotic.cl, 1-9, 11-15, 1-9, <$100K
107348288,Omega Tech,omega.com.do, 1-9, 21-25, 100-499, $10M-$24.9M
12583235,SDTEC,sdtec.com.pe, 1-9, 11-15, 10-99, $100K-$499K
118620484,intelecta tecnologia - empresario erp,intelecta.com.br, 1-9, 31+, 1-9, <$100K
118620489,Cdc Holding,cdc.com.mx, 1-9, 21-25, 1-9, $500K-$999K
111935822,Integra It Solutions,integrait.ar, 1-9,-, 1-9, <$100K
13107538,Aslsoftware,aslsoftware.com.br, 1-9, 16-20, 1-9, <$100K
114950482,Tulfa,tulfa.com, 1-9, 06-08, 100-499, $10M-$24.9M
12714324,Voice Outsourcing,vol.co.tt, 1-9, 04-05, 1-9, <$100K
107348329,Ondata International,ondata.es, 10-29, 26-30, 10-99, $1M-$2.49M
13369713,Inventcloud Solu,inventcloud.com.br, 1-9, 09-10, 10-99, $1M-$2.49M
115081587,"R & G Technology Group, C.A",rgtech.com.ve, 1-9, 26-30, 1-9, $500K-$999K
118620537,maxwell automation,maxwellautomation.com.mx, 1-9, 06-08, 1-9, <$100K
15204730,Compuandsoft,compuandsoft.com, 1-9, 04-05, 1-9, <$100K
15204739,compuservice del noroeste,compuservicedelnoroeste.com, 1-9, 06-08, 1-9, <$100K
92012931,TBS CONSULTORES,tbsconsultores.com, 1-9, 21-25, 10-99, $100K-$499K
115212676,witat solutions,witat.com, 1-9, 06-08, 1-9, <$100K
107217287,Gestion De Proyectos De Informatica Y Comunicaciones,gpic.es, 1-9, 11-15, 10-99, $2.5M-$4.9M
118620552,laca-soft,laca-soft.com, 1-9,-, 1-9, <$100K
92144009,TRUNION ENGINEERING,trunionengineering.com, 1-9, 04-05, 10-99, $500K-$999K
12583311,Alstom,alstom.com, 100+, 31+," 1,000+", $10B-$24.9B
12583320,Indoor Environment,indoorweb.com.br, 1-9, 26-30, 1-9, <$100K
111804832,Active Solutions Comercio E ServiASSos,activesolutions.com.br, 1-9, 21-25, 1-9, <$100K
118620578,intelligent systems services,iss.com.ec, 1-9, 02-03, 1-9, <$100K
118620579,Croi,nacroi.com.br, 1-9, 11-15, 1-9, <$100K
